Node,Parent
152_CAPACITY_INCLINATION_VIBRATION_MEASUREMENTS,15_QUALITY_CONTROL_MEASUREMENTS_TESTS_TRIALS
152001_Testing_instrument_hire,152_CAPACITY_INCLINATION_VIBRATION_MEASUREMENTS
153_FUEL_and_LUBE_OIL_FOR_TESTS_and_TRIAL_TRIPS,15_QUALITY_CONTROL_MEASUREMENTS_TESTS_TRIALS
153001_Trial_trip_FO,153_FUEL_and_LUBE_OIL_FOR_TESTS_and_TRIAL_TRIPS
153005_Trial_trip_LO,153_FUEL_and_LUBE_OIL_FOR_TESTS_and_TRIAL_TRIPS
154_TRIAL_TRIPS,15_QUALITY_CONTROL_MEASUREMENTS_TESTS_TRIALS
154001_Harbour_pilot_expenses,154_TRIAL_TRIPS
154005_Tug_hire,154_TRIAL_TRIPS
154010_Harbour_dues,154_TRIAL_TRIPS
154011_Speed-mile_dues,154_TRIAL_TRIPS
154012_Trial_trip_master_hire,154_TRIAL_TRIPS
154015_Trial_trip_crew_catering,154_TRIAL_TRIPS
155_SPECIAL_TESTS_TRIALS,15_QUALITY_CONTROL_MEASUREMENTS_TESTS_TRIALS
155001_Test_plant_rentals,155_SPECIAL_TESTS_TRIALS
155003_Gas_purchases,155_SPECIAL_TESTS_TRIALS
155005_Ammunition_purchases,155_SPECIAL_TESTS_TRIALS
155010_Harbour_dues,155_SPECIAL_TESTS_TRIALS
155012_Pilot_expenses,155_SPECIAL_TESTS_TRIALS
155014_Tug_hire,155_SPECIAL_TESTS_TRIALS
155016_Watch_keeping,155_SPECIAL_TESTS_TRIALS
155020_Ship_operation_to_test_location,155_SPECIAL_TESTS_TRIALS
155030_Seine_test_settings,155_SPECIAL_TESTS_TRIALS
155040_Trawl_tests,155_SPECIAL_TESTS_TRIALS
155045_Towing_tests,155_SPECIAL_TESTS_TRIALS
155050_Fi-Fi_tests,155_SPECIAL_TESTS_TRIALS
155055_Dynamic_positioning_tests,155_SPECIAL_TESTS_TRIALS
16_GUARANTEE_MENDING_WORK,1_SHIP_GENERAL
161_MENDING_WORK_AFTER_TRIALS,16_GUARANTEE_MENDING_WORK
162_GUARANTEE_WORK,16_GUARANTEE_MENDING_WORK
162001_Guarantee_eng_travel_per_diem_expenses,162_GUARANTEE_WORK
162005_Workers_travel_per_diem_expenses,162_GUARANTEE_WORK
164_REPAIR_OF_DAMAGES_CAUSED_BY_YARD,16_GUARANTEE_MENDING_WORK
17_SHIP_REPAIR_SPECIAL_SERVICES,1_SHIP_GENERAL
171_DISPOSAL_OF_WASTE_GARBAGE_OIL_CHEMICALS,17_SHIP_REPAIR_SPECIAL_SERVICES
172_CRANE_ASSISTANCE_TO_SHIPS_CREW,17_SHIP_REPAIR_SPECIAL_SERVICES
173_TRANSPORT_OF_YARD_PERSONNEL,17_SHIP_REPAIR_SPECIAL_SERVICES
174_TOILET_and_WASH_ROOM_OUTLETS,17_SHIP_REPAIR_SPECIAL_SERVICES
175_SERVICES_TO_SHIPS_CREW_MEALS_ETC,17_SHIP_REPAIR_SPECIAL_SERVICES
19_CONSUMPTION_ARTICLES,1_SHIP_GENERAL
191_ELECTRODES,19_CONSUMPTION_ARTICLES
192_GAS_OXYGEN_COAL_OIL,19_CONSUMPTION_ARTICLES
193_TOOLS_JIGS,19_CONSUMPTION_ARTICLES
194_BINDING_and_MENDING_MATERIAL_CLEANING_ARTICLES,19_CONSUMPTION_ARTICLES
194001_Soap_detergent,194_BINDING_and_MENDING_MATERIAL_CLEANING_ARTICLES
